YEAR,DATE OZONE HOLE AREA (MMDD),OZONE HOLE AREA (MIL SQ. KM),DATE MIN OZONE VALUE (MMDD),MIN OZONE VALUE (DU)
1979,917,1.1,917,194
1980,921,3.3,1016,192
1981,1010,3.1,1010,195
1982,1002,10.8,1102,170
1983,1017,12.2,1006,154
1984,924,14.7,1003,144
1985,1003,18.8,1024,124
1986,1006,14.4,1006,140
1987,929,22.5,1005,109
1988,920,13.8,930,162
1989,1003,21.7,1007,108
1990,919,21.1,1005,111
1991,1004,22.6,1006,94
1992,927,24.9,1011,105
1993,919,25.8,925,104
1994,930,25.2,930,73
1996,907,26.9,1005,103
1997,927,25.1,924,99
1998,919,27.9,1006,86
1999,915,25.8,929,97
2000,909,29.9,929,89
2001,917,26.5,922,91
2002,919,21.9,920,131
2003,924,28.4,926,91
2004,922,22.8,1004,102
2005,911,27.2,930,103
2006,924,29.6,1008,84
2007,913,25.2,924,108
2008,912,27,1004,101
2009,917,24.4,926,97
2010,925,22.6,1001,119
2011,912,26.1,1008,95
2012,922,21.1,1001,124
2013,916,24,929,116
2014,911,24.1,930,114
2015,1002,28.2,1004,101
2016,928,22.8,1001,111
2017,911,19.6,1009,131
2018,920,24.8,1011,102
2019,908,16.4,902,142
