,date,shape,location,state
0,7/9/2016,Circle ,Lakeside ,CA
1,7/7/2016,Circle ,Laguna Hills ,CA
2,7/6/2016,Circle ,Lincoln and Roseville ,CA
3,7/4/2016,Circle ,Elk Grove ,CA
4,7/4/2016,Circle ,Channel Islands Point Magu ,CA
5,6/30/2016,Circle ,Pacifica ,CA
6,6/30/2016,Circle ,Pacifica ,CA
7,6/20/2016,Circle ,San Ramon ,CA
8,6/4/2016,Circle ,Fair Oaks ,CA
9,5/28/2016,Circle ,Woodville ,TX
10,4/26/2016,Circle ,Jarrell ,TX
11,4/26/2016,Circle ,Barstow ,CA
12,4/25/2016,Circle ,Barstow (I-15 Fwy) ,CA
13,4/23/2016,Circle ,Maywood ,CA
14,4/22/2016,Circle ,San Antonio ,TX
15,4/16/2016,Circle ,Sacramento ,CA
16,3/30/2016,Circle ,Maywood ,CA
17,3/3/2016,Circle ,Huntington Beach ,CA
18,2/29/2016,Circle ,Mojave ,CA
19,2/14/2016,Circle ,Indio ,CA
20,2/14/2016,Circle ,Lakewood ,CA
21,2/12/2016,Circle ,La Porte ,TX
22,2/10/2016,Circle ,Geyserville ,CA
23,2/5/2016,Circle ,Costa Mesa ,CA
24,2/4/2016,Circle ,Woodland Hills ,CA
25,2/1/2016,Circle ,Los Angeles ,CA
26,1/29/2016,Circle ,Burbank ,CA
27,1/26/2016,Circle ,Rohnert Park ,CA
28,1/23/2016,Circle ,Long Beach ,CA
29,1/21/2016,Circle ,Clayton ,CA
30,1/16/2016,Circle ,Sacramento ,CA
31,1/15/2016,Circle ,Austin ,TX
32,1/14/2016,Circle ,Santa Clarita ,CA
33,1/14/2016,Circle ,North Hollywood ,CA
34,1/8/2016,Circle ,Pasadena ,TX
35,1/6/2016,Circle ,Goliad ,TX
36,12/31/2015,Circle ,Bay City ,TX
37,12/31/2015,Circle ,San Ysidro ,CA
38,12/30/2015,Circle ,Santa Maria ,CA
39,12/23/2015,Circle ,Modesto ,CA
40,12/21/2015,Circle ,Fairfield ,CA
41,12/12/2015,Circle ,Aliso Viejo ,CA
42,9/15/2012,Circle ,Redding ,CA
43,6/30/1961,Circle ,Dell City ,TX
44,7/20/2016,Fireball ,Culver City ,CA
45,6/30/2016,Fireball ,Placerville ,CA
46,6/12/2016,Fireball ,Palo Alto ,CA
47,6/11/2016,Fireball ,Laguna Niguel ,CA
48,6/7/2016,Fireball ,Long Beach ,CA
49,5/7/2016,Fireball ,Long Beach ,CA
50,4/30/2016,Fireball ,El Paso ,TX
51,4/30/2016,Fireball ,Newport Beach ,CA
52,4/26/2016,Fireball ,Reseda ,CA
53,4/26/2016,Fireball ,Costa Mesa ,CA
54,4/22/2016,Fireball ,Whittier ,CA
55,4/21/2016,Fireball ,San Antonio ,TX
56,4/12/2016,Fireball ,Van Nuys ,CA
57,4/7/2016,Fireball ,Bass Lake ,CA
58,4/2/2016,Fireball ,Rowlett ,TX
59,4/1/2016,Fireball ,Bakersfield ,CA
60,3/31/2016,Fireball ,Shasta Lake ,CA
61,3/27/2016,Fireball ,Bakersfield ,CA
62,3/21/2016,Fireball ,Wylie and Rowlett ,TX
63,3/20/2016,Fireball ,Santa Cruz ,CA
64,3/17/2016,Fireball ,Chula Vista ,CA
65,3/6/2016,Fireball ,Riverside ,CA
66,3/6/2016,Fireball ,Goleta ,CA
67,3/3/2016,Fireball ,Vallejo ,CA
68,2/20/2016,Fireball ,San Luis Obispo ,CA
69,2/11/2016,Fireball ,Laguna Beach ,CA
70,2/11/2016,Fireball ,Costa Mesa ,CA
71,2/11/2016,Fireball ,Palm Desert ,CA
72,2/11/2016,Fireball ,Victorville ,CA
73,2/11/2016,Fireball ,Santa Clarita ,CA
74,2/11/2016,Fireball ,Whittier ,CA
75,2/11/2016,Fireball ,Burbank ,CA
76,2/5/2016,Fireball ,Austin ,TX
77,1/29/2016,Fireball ,Cerritos ,CA
78,1/23/2016,Fireball ,Spring ,TX
79,1/18/2016,Fireball ,Bakersfield ,CA
80,1/13/2016,Fireball ,Sutherlin ,CA
81,1/3/2016,Fireball ,Chula Vista ,CA
82,1/3/2016,Fireball ,Santee ,CA
83,1/2/2016,Fireball ,Imperial Beach ,CA
84,1/1/2016,Fireball ,Sacramento ,CA
85,1/1/2016,Fireball ,Sacramento ,CA
86,1/1/2016,Fireball ,Rancho Cucamonga ,CA
87,12/31/2015,Fireball ,Menifee ,CA
88,12/29/2015,Fireball ,Walnut Creek ,CA
89,12/23/2015,Fireball ,Concord ,CA
90,12/22/2015,Fireball ,Goleta ,CA
91,12/22/2015,Fireball ,Menifee ,CA
92,12/22/2015,Fireball ,Palm Springs ,CA
93,12/22/2015,Fireball ,Bakersfield ,CA
94,12/22/2015,Fireball ,Huntington Beach ,CA
95,12/22/2015,Fireball ,Napa ,CA
